country_of_citizenship,continent,region,number_of_active_students,male,female,associate,bachelors,doctorate,flight_training,high_school,language_training,masters,other,other_vocational_school,primary,secondary,ak,al,ar,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy,month_year,date,active_students,flight_school
OMAN,Asia,Western Asia,3213,2366,842,47,2589,69,1,0,333,70,96,1,0,7,0,32,2,44,247,170,1,23,13,431,8,0,1,35,17,11,33,0,148,123,33,2,0,149,99,39,0,25,0,27,5,359,5,1,13,1,34,316,101,88,99,0,1,66,1,28,109,14,26,0,1,122,8,102,0,march-2018,2018-03-01,NA,NA
PAKISTAN,Asia,Southern Asia,7453,5454,1999,846,2846,956,16,0,259,2201,297,5,4,23,4,58,35,65,522,80,89,94,31,415,187,0,2,108,18,538,227,108,65,26,599,103,11,181,194,102,0,21,2,82,23,16,66,160,25,9,834,151,86,56,278,1,46,20,18,56,1138,32,245,0,20,77,67,55,7,march-2018,2018-03-01,NA,NA
PALAU,Australia&Pacific Islands,Micronesia,5,4,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
PANAMA,North America,Central America,2116,1068,1048,100,1241,46,53,0,422,155,60,5,2,32,0,8,222,3,122,19,7,76,3,343,108,0,3,5,1,92,53,9,88,71,158,15,3,48,5,96,0,10,1,16,2,3,0,32,1,4,114,7,19,11,100,7,13,28,1,3,137,7,25,0,0,12,3,0,2,march-2018,2018-03-01,NA,NA
PAPUA NEW GUINEA,Australia&Pacific Islands,Melanesia,149,75,74,21,79,2,3,0,1,15,10,1,1,16,1,0,2,1,2,2,0,1,0,21,3,1,4,0,1,2,4,5,16,0,1,2,2,14,2,3,0,0,1,0,0,1,0,0,3,0,1,23,7,0,6,0,0,1,1,0,7,0,3,0,1,1,1,2,0,march-2018,2018-03-01,NA,NA
PARAGUAY,South America,South America,659,334,325,49,388,22,0,0,88,87,16,1,1,7,0,2,0,2,66,4,2,5,2,60,13,0,1,8,3,21,8,176,7,3,54,10,0,2,6,5,0,0,0,11,2,0,3,13,4,0,66,5,9,1,16,0,1,4,2,4,27,11,12,0,0,3,1,4,0,march-2018,2018-03-01,NA,NA
PERU,South America,South America,3598,1861,1737,369,1176,435,73,0,486,843,133,10,25,48,0,13,17,23,359,45,40,54,5,501,64,0,6,23,42,154,71,37,17,18,278,79,4,59,43,37,0,14,1,77,1,12,12,67,10,9,500,28,16,25,104,65,14,12,3,29,212,227,104,0,6,26,31,4,0,march-2018,2018-03-01,NA,NA
PHILIPPINES,Asia,South-Eastern Asia,4716,2050,2666,716,1298,421,17,0,621,1175,347,24,15,82,2,26,9,37,1530,13,62,42,4,111,46,7,46,33,23,199,41,18,11,23,214,93,7,58,23,23,22,5,5,35,10,14,5,189,12,47,1001,100,17,19,89,0,17,12,2,21,177,37,68,2,4,69,30,5,1,march-2018,2018-03-01,NA,NA
POLAND,Europe,Eastern Europe,2384,985,1398,267,613,253,2,0,641,266,236,7,5,94,0,10,8,13,226,22,43,24,10,104,28,0,5,11,6,435,29,8,9,11,125,27,4,52,30,33,0,6,4,26,3,7,3,189,4,5,504,22,10,9,91,0,12,10,3,12,69,10,69,0,5,11,17,7,3,march-2018,2018-03-01,NA,NA
PORTUGAL,Europe,Southern Europe,1082,579,503,105,473,142,5,0,82,162,74,15,2,22,0,6,1,8,205,8,20,12,4,120,21,0,7,3,6,28,36,8,7,6,80,13,0,20,5,14,0,7,2,12,0,4,4,28,1,1,161,20,5,5,36,0,12,7,0,12,38,23,22,0,1,32,5,2,4,march-2018,2018-03-01,NA,NA
QATAR,Asia,Western Asia,1273,1175,97,179,906,30,7,0,66,50,33,0,0,2,0,9,0,155,293,86,29,51,0,144,0,0,0,3,4,31,21,5,1,13,29,7,0,8,1,5,0,2,1,11,0,4,2,2,7,2,44,16,6,61,16,0,0,0,0,6,133,10,38,0,0,11,2,4,0,march-2018,2018-03-01,NA,NA
ROMANIA,Europe,Eastern Europe,1217,522,695,119,445,289,1,0,65,171,75,14,3,35,0,6,4,18,149,7,30,8,2,51,26,0,0,6,6,134,12,9,8,22,123,17,6,43,6,16,0,6,0,26,2,1,5,42,0,6,146,36,13,8,56,1,13,8,2,13,63,4,29,0,1,12,10,4,1,march-2018,2018-03-01,NA,NA
RUSSIA,Europe,Eastern Europe,6655,2880,3775,622,2206,1048,14,0,682,1109,437,27,58,452,26,21,18,46,1335,68,99,58,21,600,108,0,14,40,21,307,79,29,23,38,657,73,23,109,70,63,1,20,8,88,10,21,41,148,14,31,1138,95,38,45,256,2,30,31,7,34,225,65,125,0,22,111,54,32,17,march-2018,2018-03-01,NA,NA
RWANDA,Africa,Eastern Africa,1571,803,768,109,925,120,2,0,14,157,18,1,4,221,2,15,101,23,77,13,16,11,0,42,31,0,0,65,6,46,28,6,38,4,88,16,19,40,58,26,0,11,1,20,3,118,16,7,7,0,85,32,76,29,71,0,8,3,4,27,88,64,44,0,13,31,10,25,7,march-2018,2018-03-01,NA,NA
SAINT BARTHELEMY,North America,Caribbean,5,2,3,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
SAINT KITTS AND NEVIS,North America,Caribbean,259,91,168,17,194,16,0,0,1,25,2,1,0,3,0,3,1,0,12,0,2,6,0,24,1,0,0,3,0,4,0,2,0,0,7,1,1,2,0,2,0,0,0,2,0,2,0,1,1,0,40,3,12,0,1,0,0,3,0,0,65,0,2,51,1,2,1,0,1,march-2018,2018-03-01,NA,NA
SAINT LUCIA,North America,Caribbean,295,119,176,41,155,40,1,0,0,50,3,1,0,4,0,11,3,1,5,4,2,4,1,47,4,0,0,2,0,13,1,3,4,9,7,6,1,3,1,6,0,3,1,0,1,1,0,12,1,0,49,4,7,0,5,1,3,5,0,1,49,1,9,1,0,1,1,1,0,march-2018,2018-03-01,NA,NA
SAINT MARTIN,North America,Caribbean,35,16,19,10,22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
SAINT VINCENT AND THE GRENADINES,North America,Caribbean,109,48,61,32,50,5,2,0,0,16,4,0,0,0,0,4,4,0,3,0,0,0,0,17,0,0,0,1,0,1,1,2,0,0,3,1,0,2,2,1,0,0,1,4,0,0,0,0,0,0,38,0,0,0,2,0,0,5,0,0,13,1,1,0,1,1,0,0,0,march-2018,2018-03-01,NA,NA
SAMOA,Australia&Pacific Islands,Polynesia,16,8,8,1,11,1,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
SAN MARINO,Europe,Southern Europe,5,1,4,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
SAO TOME AND PRINCIPE,Africa,Central Africa,3,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
SAUDI ARABIA,Asia,Western Asia,47707,36103,11582,1406,27380,4002,500,0,5862,7620,805,79,11,42,3,575,472,1477,4649,1023,836,990,198,2761,790,0,18,427,393,1562,1957,800,963,462,1666,955,27,2014,560,1268,0,146,267,697,96,225,96,409,131,29,1412,3346,921,1195,3264,1,189,165,126,1266,2231,529,1386,0,21,1280,811,570,52,march-2018,2018-03-01,NA,NA
SENEGAL,Africa,Western Africa,683,419,264,147,293,48,0,0,42,81,9,0,3,60,0,4,3,11,35,6,10,13,4,64,25,0,0,6,2,11,12,10,19,7,28,31,4,10,12,24,0,5,0,13,1,3,4,19,4,3,83,39,8,7,24,0,2,9,2,4,46,5,26,0,3,12,6,3,1,march-2018,2018-03-01,NA,NA
SERBIA,Europe,Southern Europe,1603,873,729,146,799,190,3,0,50,233,33,11,0,138,0,15,16,12,129,17,38,11,3,125,35,0,4,29,7,108,18,22,18,22,76,10,12,20,22,83,0,13,2,43,7,11,9,34,6,7,151,41,49,12,82,0,8,24,3,27,87,11,45,0,6,17,18,25,13,march-2018,2018-03-01,NA,NA
SERBIA AND MONTENEGRO,Europe,Southern Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
SEYCHELLES,Africa,Eastern Africa,13,9,4,1,8,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,march-2018,2018-03-01,NA,NA
SIERRA LEONE,Africa,Western Africa,207,130,77,36,90,17,0,0,0,40,4,0,2,18,0,4,2,1,22,1,0,7,2,4,6,0,0,4,1,8,5,0,2,2,15,15,3,4,2,3,0,0,0,6,0,3,0,3,2,0,16,14,8,0,8,0,2,1,0,0,10,2,10,0,1,2,6,0,0,march-2018,2018-03-01,NA,NA
SINGAPORE,Asia,South-Eastern Asia,4117,2108,2008,97,2278,658,13,0,2,798,187,14,2,68,0,4,6,38,918,27,82,37,1,71,77,0,10,14,4,258,103,7,5,4,491,65,4,102,34,35,0,4,3,94,1,4,16,57,2,5,745,50,6,49,245,0,54,15,0,14,128,35,27,0,8,114,40,4,0,march-2018,2018-03-01,NA,NA
SINT MAARTEN,North America,Caribbean,38,16,22,2,30,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,march-2018,2018-03-01,NA,NA
SLOVAKIA,Europe,Eastern Europe,438,175,263,55,159,37,0,0,37,87,19,2,1,41,0,8,1,6,60,2,8,10,1,37,6,0,8,2,3,17,6,3,2,3,19,4,3,8,12,8,0,1,0,7,2,4,1,15,3,2,60,12,9,3,19,0,2,1,1,4,22,6,16,0,1,4,6,0,0,march-2018,2018-03-01,NA,NA
SLOVENIA,Europe,Southern Europe,238,122,116,20,130,38,0,0,5,30,12,0,0,3,0,2,3,4,29,0,7,3,0,13,2,0,4,4,1,8,4,0,1,0,12,5,0,7,3,5,0,7,2,8,1,4,0,6,2,3,25,5,2,0,11,0,1,1,1,7,20,3,6,0,1,3,1,0,1,march-2018,2018-03-01,NA,NA
SOLOMON ISLANDS,Australia&Pacific Islands,Melanesia,11,3,8,3,2,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
SOMALIA,Africa,Eastern Africa,70,41,29,6,48,0,0,0,2,3,1,0,0,10,0,0,0,0,1,0,5,0,0,0,2,0,0,5,0,0,1,0,2,0,14,0,0,1,8,2,0,0,0,0,0,0,0,0,1,0,11,0,1,1,3,0,0,0,0,0,5,0,4,0,0,0,0,3,0,march-2018,2018-03-01,NA,NA
SOUTH AFRICA,Africa,Southern Africa,2282,1141,1141,285,1125,184,5,0,5,436,90,62,4,86,1,45,29,21,305,35,43,23,10,113,62,1,4,32,32,63,35,27,28,13,154,27,6,63,23,41,0,18,4,60,3,7,13,50,5,9,297,54,32,12,102,1,15,39,6,33,149,31,36,0,1,29,21,17,2,march-2018,2018-03-01,NA,NA
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
SOUTH KOREA,Asia,Eastern Asia,67326,35752,31555,5594,26987,10777,643,1,5208,9308,3179,86,952,4591,42,277,153,780,14226,401,565,520,123,1434,2502,76,495,679,201,3249,1725,656,341,153,3593,1187,118,1873,1285,880,186,102,23,757,91,177,180,1504,83,475,10080,1080,454,698,3008,0,497,204,156,349,3671,874,1789,0,56,2169,1050,57,22,march-2018,2018-03-01,NA,NA
SOUTH SUDAN,Africa,Eastern Africa,80,64,16,8,47,2,0,0,0,3,1,0,2,17,0,0,0,2,6,0,1,1,0,4,0,0,0,8,3,2,3,2,2,2,8,0,0,1,2,3,0,0,0,3,1,1,0,0,0,0,8,1,4,0,5,0,1,1,0,2,0,0,0,0,0,2,1,0,0,march-2018,2018-03-01,NA,NA
SPAIN,Europe,Southern Europe,7622,4207,3414,426,3075,861,14,0,474,1444,501,40,34,753,0,73,36,89,973,118,112,91,36,668,195,0,39,91,43,515,142,90,67,61,587,59,41,154,62,213,0,48,18,184,9,42,42,119,44,15,970,140,54,53,243,46,28,90,13,110,270,91,123,0,43,45,91,120,16,march-2018,2018-03-01,NA,NA
SRI LANKA,Asia,Southern Asia,3450,1972,1476,121,1094,1491,27,0,18,659,29,5,0,6,3,27,10,50,255,16,44,26,8,141,51,0,3,86,5,123,61,213,48,54,103,36,5,174,142,123,0,60,12,28,43,26,9,36,30,15,260,219,61,23,108,0,20,55,56,20,383,24,77,0,1,16,29,23,9,march-2018,2018-03-01,NA,NA
STATELESS,0,0,34,21,13,7,20,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0,7,1,0,1,4,1,0,0,0,2,0,0,0,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,march-2018,2018-03-01,NA,NA
SUDAN,Africa,Northern Africa,320,222,98,40,87,49,0,0,8,119,15,0,0,2,0,3,0,5,31,1,4,3,0,16,3,0,1,9,0,36,3,1,2,2,20,4,1,7,9,6,0,2,0,11,1,2,0,3,2,0,14,28,0,3,7,0,1,0,1,23,22,5,13,0,2,8,2,1,2,march-2018,2018-03-01,NA,NA
SURINAME,South America,South America,95,50,45,16,44,5,5,0,1,16,3,2,0,3,0,1,0,0,5,2,0,1,0,40,2,0,0,1,2,1,0,0,1,6,3,2,0,1,1,0,0,0,0,3,0,0,0,1,0,0,12,1,1,1,0,0,1,0,0,0,3,0,2,0,0,0,0,1,0,march-2018,2018-03-01,NA,NA
SWAZILAND,Africa,Southern Africa,180,89,91,8,140,11,0,0,1,14,0,2,0,4,0,0,0,1,6,2,4,2,1,6,2,0,0,23,13,12,4,0,1,0,4,0,3,4,13,5,0,0,0,11,1,0,2,1,3,0,11,3,23,1,5,1,0,0,0,1,2,1,3,0,4,0,1,0,0,march-2018,2018-03-01,NA,NA
SWEDEN,Europe,Northern Europe,3807,1680,2126,892,1959,121,8,0,123,255,289,59,9,92,7,23,18,34,1480,40,48,14,2,270,73,0,56,13,8,121,14,14,28,19,146,13,19,46,35,45,0,15,15,74,7,5,39,31,11,18,531,50,12,12,72,0,19,53,4,24,64,25,41,0,12,29,42,14,2,march-2018,2018-03-01,NA,NA
SWITZERLAND,Europe,Western Europe,1965,1025,940,101,567,166,27,0,564,232,120,79,15,94,5,6,3,13,632,21,20,25,1,178,16,0,117,4,0,44,20,4,5,6,189,11,3,16,8,16,0,2,4,32,2,1,6,22,3,2,281,14,11,11,36,0,13,22,1,11,42,18,30,0,6,16,12,3,1,march-2018,2018-03-01,NA,NA
SYRIA,Asia,Western Asia,605,441,164,67,282,74,3,0,13,137,22,0,0,7,0,7,3,4,61,4,5,5,0,31,11,0,0,5,2,58,28,12,8,6,50,3,2,32,11,17,0,2,1,12,0,2,1,14,2,2,41,34,13,6,20,0,8,1,1,3,26,3,7,0,7,11,10,13,0,march-2018,2018-03-01,NA,NA
TAIWAN,Asia,Eastern Asia,23810,12030,11779,1580,6220,3776,204,1,1567,8086,1310,71,75,920,4,97,21,398,6611,171,151,162,46,662,355,20,133,117,66,975,622,91,67,57,1620,378,31,641,321,196,2,37,17,225,12,27,35,333,29,70,2886,401,93,461,1150,1,143,77,3,69,1488,227,248,1,33,1464,230,27,8,march-2018,2018-03-01,NA,NA
TAJIKISTAN,Asia,Central Asia,360,255,105,84,91,20,0,0,80,47,27,0,0,11,0,2,0,2,25,10,0,9,1,5,3,0,0,3,0,11,7,8,4,2,8,2,0,4,10,3,0,1,5,1,5,28,0,4,2,2,103,2,1,4,14,0,0,1,1,0,12,1,41,0,0,3,9,0,1,march-2018,2018-03-01,NA,NA
TANZANIA,Africa,Eastern Africa,1016,527,489,200,436,80,14,0,20,189,18,1,2,56,0,12,19,11,53,9,17,4,7,61,15,0,1,19,13,36,20,26,4,8,60,23,3,31,52,40,0,4,1,12,2,6,6,22,7,6,66,34,17,7,34,0,3,7,5,10,124,6,65,0,1,13,10,4,0,march-2018,2018-03-01,NA,NA
THAILAND,Asia,South-Eastern Asia,10457,4304,6150,854,2539,666,73,0,2492,2379,817,34,70,533,3,42,26,53,2774,131,116,153,6,370,121,0,40,43,12,953,120,39,30,25,797,105,19,160,83,92,4,19,6,83,11,29,47,114,15,60,1683,113,42,191,258,0,39,34,2,40,322,75,402,0,15,388,99,51,2,march-2018,2018-03-01,NA,NA
TIMOR-LESTE,Asia,South-Eastern Asia,16,6,10,1,13,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
TOGO,Africa,Western Africa,246,150,96,83,76,11,1,0,29,37,6,0,1,2,0,5,3,3,16,2,1,5,2,10,6,0,0,7,1,13,2,1,0,1,3,15,1,6,15,7,0,2,0,11,1,15,0,5,0,0,18,9,1,2,3,0,0,0,3,2,19,2,7,0,1,13,6,1,0,march-2018,2018-03-01,NA,NA
TONGA,Australia&Pacific Islands,Polynesia,36,24,12,6,8,1,0,0,6,2,2,0,2,9,0,0,0,1,6,0,0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
TRINIDAD AND TOBAGO,North America,Caribbean,1361,659,702,110,791,166,18,0,1,234,20,1,1,19,0,5,8,5,44,8,31,78,11,414,54,0,2,3,5,27,19,4,10,19,35,26,3,24,5,15,0,12,1,18,0,1,5,34,4,2,167,16,7,2,57,1,13,16,2,19,95,2,16,1,1,3,5,6,0,march-2018,2018-03-01,NA,NA
TROMELIN ISLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
TUNISIA,Africa,Northern Africa,708,474,234,115,226,120,6,0,81,124,33,0,0,3,0,3,3,6,215,7,10,6,4,38,10,0,1,9,7,11,6,8,15,5,49,6,2,13,10,5,0,0,0,8,3,3,2,9,3,3,61,5,4,14,22,0,6,6,2,3,41,6,27,0,1,17,9,2,2,march-2018,2018-03-01,NA,NA
TURKEY,Asia,Western Asia,11817,7197,4618,889,3395,2408,39,0,1913,2149,706,13,16,289,1,41,37,83,2138,63,144,281,89,515,238,0,5,53,2,712,144,34,17,46,1088,125,20,174,88,80,0,13,91,159,5,18,52,467,9,32,2741,128,16,38,477,0,102,31,7,47,598,26,344,1,10,99,60,24,4,march-2018,2018-03-01,NA,NA
TURKMENISTAN,Asia,Central Asia,435,296,139,91,119,24,1,0,115,60,19,0,1,5,0,5,3,1,33,0,1,3,0,11,6,0,1,7,0,57,4,10,2,0,8,0,1,4,7,6,0,2,0,3,0,3,1,6,3,2,124,1,1,0,4,0,0,0,2,2,82,4,7,0,0,11,1,3,3,march-2018,2018-03-01,NA,NA
TURKS AND CAICOS ISLANDS,North America,Caribbean,52,30,22,20,22,0,1,0,0,6,0,0,0,3,0,2,0,0,0,1,3,0,0,27,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
TUVALU,Australia&Pacific Islands,Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
UGANDA,Africa,Eastern Africa,884,440,443,102,324,136,5,0,3,270,11,3,1,29,0,7,3,1,49,5,12,9,1,27,32,0,1,41,8,35,21,11,14,18,59,17,4,33,51,24,0,2,0,14,1,7,5,8,2,2,60,34,45,13,42,0,2,8,6,7,64,16,17,0,4,16,21,3,2,march-2018,2018-03-01,NA,NA
UKRAINE,Europe,Eastern Europe,2962,1350,1611,402,842,315,6,0,477,463,226,13,16,202,0,18,15,18,342,17,43,28,12,223,34,0,5,20,25,390,39,11,15,31,183,37,10,52,32,58,0,10,1,60,3,7,18,74,9,7,455,48,20,15,138,4,4,21,6,31,120,72,90,0,12,44,22,13,0,march-2018,2018-03-01,NA,NA
UNITED ARAB EMIRATES,Asia,Western Asia,2255,2043,212,91,1673,73,8,0,159,116,125,1,0,9,0,35,1,269,277,128,19,40,4,189,9,0,0,29,4,53,77,25,55,53,92,52,6,33,7,28,0,0,1,14,0,3,5,4,2,0,72,72,10,89,111,0,5,20,1,48,44,14,139,0,1,13,18,84,0,march-2018,2018-03-01,NA,NA
UNITED KINGDOM,Europe,Northern Europe,11112,6904,4205,887,6155,1139,99,0,8,1877,517,154,42,234,3,111,41,152,1449,138,242,117,31,691,321,0,44,186,63,333,137,131,106,89,861,108,37,188,91,257,0,91,22,396,28,59,51,281,57,17,1633,239,189,60,428,3,81,167,20,252,474,95,197,15,38,79,84,103,26,march-2018,2018-03-01,NA,NA
URUGUAY,South America,South America,336,180,156,33,102,63,0,0,44,69,16,3,0,6,0,4,1,3,30,3,2,4,1,56,9,0,1,5,2,5,6,7,1,1,26,4,1,10,6,7,0,2,0,8,2,2,0,6,1,0,55,6,1,0,8,0,2,1,0,4,7,22,4,0,1,5,1,2,1,march-2018,2018-03-01,NA,NA
UZBEKISTAN,Asia,Central Asia,996,695,301,145,229,51,1,0,168,322,66,1,3,10,0,4,5,2,155,9,9,9,6,59,6,0,2,17,2,110,7,1,11,4,26,10,0,19,21,47,0,4,0,12,0,7,8,10,1,0,215,10,4,3,47,0,0,0,3,10,23,1,67,0,0,16,9,2,3,march-2018,2018-03-01,NA,NA
VANUATU,Australia&Pacific Islands,Melanesia,7,3,4,0,5,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,march-2018,2018-03-01,NA,NA
VENEZUELA,South America,South America,11273,5367,5905,2290,4150,309,17,0,2189,1498,453,19,76,272,1,39,18,33,435,94,41,86,14,4886,312,0,9,76,10,422,83,68,63,56,698,64,7,90,72,173,0,28,10,155,6,23,7,143,25,14,900,82,85,22,253,82,20,20,12,63,1155,87,107,0,7,50,35,24,8,march-2018,2018-03-01,NA,NA
VIETNAM,Asia,South-Eastern Asia,31613,14389,17217,9332,10035,1379,111,0,2398,2813,913,28,156,4448,6,187,207,450,6316,348,301,173,50,1271,706,0,78,379,52,975,341,227,123,344,1846,284,176,525,671,479,0,97,14,295,12,239,134,340,113,111,1410,556,336,548,1270,1,90,105,41,152,5247,166,889,0,41,2498,318,54,21,march-2018,2018-03-01,NA,NA
WEST BANK,Asia,Western Asia,330,247,82,49,110,60,0,0,48,55,4,0,0,4,0,4,5,10,20,6,4,3,1,11,4,0,0,12,1,46,6,3,2,7,14,2,1,5,13,5,0,2,0,15,0,0,0,10,2,0,23,10,4,6,12,0,2,0,1,8,28,1,11,0,2,4,4,0,0,march-2018,2018-03-01,NA,NA
YEMEN,Asia,Western Asia,570,504,66,148,240,35,4,0,72,56,9,1,2,3,0,10,3,10,87,11,2,5,3,35,10,0,0,1,1,40,9,2,1,3,21,9,2,28,23,18,0,23,1,7,2,1,0,9,1,0,51,17,2,15,22,0,1,1,4,4,32,3,18,0,0,17,1,4,0,march-2018,2018-03-01,NA,NA
ZAMBIA,Africa,Eastern Africa,499,252,247,96,250,37,1,0,3,81,10,1,4,16,0,3,9,4,23,6,7,9,3,15,18,0,0,17,7,20,10,6,14,4,24,10,0,23,12,9,0,5,1,15,1,8,0,3,5,0,36,22,15,2,20,0,0,1,0,15,71,1,9,0,2,12,2,0,0,march-2018,2018-03-01,NA,NA
ZIMBABWE,Africa,Eastern Africa,1427,759,668,122,835,147,1,0,1,253,40,6,3,19,1,12,21,15,64,7,34,9,5,66,44,0,0,46,17,37,34,24,16,12,102,16,9,52,57,60,0,9,1,49,18,10,15,17,6,3,78,37,40,14,77,0,6,20,3,37,137,17,22,0,10,12,13,16,0,march-2018,2018-03-01,NA,NA
AFGHANISTAN,Asia,Southern Asia,306,171,135,17,158,45,0,0,6,41,6,0,1,32,0,1,0,3,16,6,4,8,0,9,3,0,0,12,0,6,10,6,5,1,32,4,5,1,12,3,0,0,1,10,0,1,3,6,3,0,27,10,3,1,21,0,2,2,0,2,17,2,26,0,11,2,8,1,0,july-2018,2018-07-01,NA,NA
ALBANIA,Europe,Southern Europe,1013,461,552,260,450,89,0,0,56,105,27,2,1,23,0,2,8,7,32,5,22,7,9,54,13,0,0,7,21,46,7,6,5,1,125,5,3,85,15,12,0,4,1,11,0,3,2,65,1,4,237,19,5,3,59,0,4,0,2,4,45,8,12,0,1,14,10,1,1,july-2018,2018-07-01,NA,NA
ALGERIA,Africa,Northern Africa,412,320,92,79,56,34,33,0,96,57,47,0,1,9,0,1,2,31,53,1,0,3,2,13,4,0,0,7,0,20,4,1,2,1,23,4,1,3,3,4,0,2,0,5,4,0,3,11,0,0,131,1,2,0,7,0,3,0,2,1,29,1,16,0,0,8,1,0,2,july-2018,2018-07-01,NA,NA
