country_of_citizenship,continent,region,number_of_active_students,male,female,associate,bachelors,doctorate,flight_training,high_school,language_training,masters,other,other_vocational_school,primary,secondary,ak,al,ar,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy,month_year,date,active_students,flight_school
BARBADOS,North America,Caribbean,339,156,183,31,190,27,2,1,1,67,4,4,0,12,0,7,8,3,6,2,5,15,3,63,10,0,0,7,2,15,5,7,5,3,11,9,1,11,2,7,0,4,0,8,0,1,0,13,3,0,51,1,4,0,7,5,4,3,0,6,12,0,6,0,0,1,3,0,0,april-2014,2014-04-01,NA,NA
BASSAS DA INDIA,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
BELARUS,Europe,Eastern Europe,431,156,275,54,167,61,2,0,39,67,21,3,1,16,0,10,0,6,43,10,4,3,2,16,13,0,0,5,1,21,6,5,5,3,23,2,1,7,7,10,0,1,0,17,0,2,2,14,0,0,113,5,2,2,15,0,1,5,0,4,24,3,13,0,0,1,2,1,1,april-2014,2014-04-01,NA,NA
BELGIUM,Europe,Western Europe,1183,637,546,83,393,107,37,2,234,194,64,22,7,40,1,7,11,41,269,7,9,13,3,89,17,0,16,8,1,39,8,7,5,6,133,19,6,22,11,14,0,2,4,32,1,5,1,19,4,5,173,14,5,6,37,1,8,5,0,12,43,5,7,0,3,15,5,8,1,april-2014,2014-04-01,NA,NA
BELIZE,North America,Central America,361,156,205,46,207,28,3,0,3,49,14,5,1,5,0,4,14,0,47,5,0,4,0,63,20,0,1,7,1,12,0,3,24,10,10,2,0,5,1,14,0,1,1,10,0,0,0,3,8,0,16,5,3,1,3,0,2,2,0,7,34,5,2,0,0,2,6,3,0,april-2014,2014-04-01,NA,NA
BENIN,Africa,Western Africa,417,257,159,121,153,25,0,0,49,54,6,0,0,9,0,7,6,1,18,1,2,8,1,16,9,0,0,8,0,32,6,6,3,3,29,19,2,8,8,14,0,0,0,11,1,30,0,14,1,1,42,6,10,1,23,0,0,1,1,1,38,0,23,0,0,0,3,1,2,april-2014,2014-04-01,NA,NA
BERMUDA,North America,Northern America,658,314,344,64,383,11,0,1,0,51,11,26,16,95,0,52,0,8,16,1,18,5,2,143,53,0,1,0,0,4,2,0,0,0,45,7,17,9,2,3,0,0,0,28,0,0,8,8,0,0,49,6,4,0,24,1,56,13,0,14,9,13,20,0,9,1,0,7,0,april-2014,2014-04-01,NA,NA
BHUTAN,Asia,Southern Asia,111,47,64,5,73,3,2,0,2,14,1,0,0,11,0,0,1,0,3,0,3,2,0,2,2,0,2,1,2,3,1,0,0,0,16,0,2,1,6,6,0,1,0,2,0,0,1,1,0,0,17,7,1,3,9,0,1,0,0,0,9,0,1,0,4,1,0,0,0,april-2014,2014-04-01,NA,NA
BOLIVIA,South America,South America,1119,553,565,153,575,70,4,0,129,144,25,4,2,13,0,7,92,5,52,9,9,35,0,123,23,0,1,9,6,29,32,22,11,28,54,22,3,8,9,20,0,2,0,15,1,9,3,18,10,1,68,23,20,6,30,8,7,14,1,6,138,35,73,0,2,4,8,8,0,april-2014,2014-04-01,NA,NA
BOSNIA AND HERZEGOVINA,Europe,Southern Europe,376,153,223,51,210,33,0,0,20,41,10,0,0,11,0,1,5,2,14,2,11,6,2,22,3,0,1,12,5,39,15,1,2,4,23,17,3,3,7,21,0,1,0,22,0,1,3,12,2,1,34,8,16,1,13,0,4,4,0,3,10,0,11,0,3,2,4,0,0,april-2014,2014-04-01,NA,NA
BOTSWANA,Africa,Southern Africa,177,78,99,10,93,24,0,0,2,35,8,0,0,5,0,2,4,0,18,1,3,5,0,6,3,0,0,4,1,5,2,0,1,2,25,2,0,6,3,10,0,0,0,3,0,1,0,2,0,0,13,12,7,2,8,0,0,2,1,0,12,0,6,0,0,2,3,0,0,april-2014,2014-04-01,NA,NA
BRAZIL,South America,South America,16257,8224,8033,1876,4245,955,106,6,4946,2096,1042,119,84,782,2,84,64,86,3510,114,178,179,48,2279,300,0,75,142,62,805,176,156,124,78,1269,141,11,260,118,312,0,75,29,301,21,65,45,415,42,56,1815,173,138,146,418,16,45,114,21,174,675,358,238,0,22,122,83,61,16,april-2014,2014-04-01,NA,NA
"BRITISH VIRGhN
  ISLANDS",North America,Caribbean,97,40,57,10,75,0,0,0,0,6,1,1,1,3,0,5,1,1,1,0,0,2,1,23,10,0,0,2,0,0,0,3,0,0,1,2,0,0,0,12,0,1,0,2,0,1,0,1,0,0,4,1,3,0,2,2,7,0,0,2,4,0,1,1,0,0,0,1,0,april-2014,2014-04-01,NA,NA
BRUNEI,Asia,South-Eastern Asia,52,22,30,3,26,3,0,0,0,13,6,0,0,1,0,0,0,1,15,1,2,2,0,0,1,0,0,0,0,3,2,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,12,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,1,0,0,april-2014,2014-04-01,NA,NA
